Landkreis;Gemeinde;Ortsteil;Haltestelle;Haltestelle_lang;HalteBeschreibung;globaleID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Staufen im Breisgau;Etzenbach (Breisgau);Bahnhof;Etzenbach Bahnhof;;de:08315:6528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Staufen im Breisgau;Staufen im Breisgau;Süd Bahnhof;Staufen (Brsg) Süd Bahnhof;;de:08315:6529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Titisee-Neustadt;Neustadt (Schwarzw);Bahnhof;Neustadt (Schwarzw) Bahnhof;;de:08315:6544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Titisee-Neustadt;Titisee;Bahnhof;Titisee Bahnhof;;de:08315:6548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Vogtsburg im Kaiserstuhl;Vogtsburg;Burkheim-Bischoffingen Bf;Burkheim-Bischoffingen Bf;;de:08315:6674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Vogtsburg im Kaiserstuhl;Achkarren;Bahnhof;Achkarren Bahnhof;;de:08315:6691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Vogtsburg im Kaiserstuhl;Oberrotweil;Bahnhof;Oberrotweil Bahnhof;;de:08315:6703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Althengstett;Althengstett;Bahnhof;Althengstett, Bahnhof;;de:08235:1170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Bad Herrenalb;Bad Herrenalb;Bad Herrenalb;;;de:08235:9558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Bad Herrenalb;Bad Herrenalb;Kullenmühle;Bad Herrenalb Kullenmühle;;de:08235:9711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calw;Bad Liebenzell;Bad Liebenzell;Bahnhof;Bad Liebenzell, Bahnhof;;de:08235:4150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
