ID;HST_DHID;HST_Name;Datenquelle;Datenstatus;Longitude;Latitude;Koordindatenquelle;OSM_ID;Sitzplätze;Unterstand;RollstuhlflächeImUnterstand;Fahrplananzeigetafel;Fahrplananzeigetafel_akustisch;Ansagen_vorhanden;Defibrillator;Defibrillator_Lagebeschreibung;Gepäckaufbewahrung;Gepäcktransport;InduktiveHöranlage;InduktiveHöranlageStandort;InfoNotrufsäule;Bahnhofsmission;HaltestelleTotale_Foto;SitzeOderUnterstand_Foto;SitzeOderUnterstandUmgebung_Foto;Fahrplananzeigetafel_Foto;Defibrillator_Foto;Gepäckaufbewahrung_Foto;InfoNotrufsäule_Foto;Bahnhofsmision_Foto;BahnhofsmissionWeg_Foto;BahnhofsmissionÖffnungszeiten_Foto;WeitereBilder1_Foto;WeitereBilder2_Foto;WeitereBilder3_Foto
ch:23017:55724;ch:23017:55724;Neunkirch;NVBW;Rohdaten;8,4949016;47,6891573;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/ch:23017:55724/f984931d-7cce-4e31-9fa6-acb696f2c85d.jpg;;;;;;;;;;;;
de:08136:4244;de:08136:4244;Bahnhof (Aufhausen (Württ));NVBW;Rohdaten;10,3178876;48,8566333;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4244/622f8a18-b0c8-4faf-9cc7-ef8167b10920.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4244/ece2ddfa-249e-4c4a-af64-e7a4cc683b34.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4244/32ec163d-d54b-47d8-9470-065e2161aaff.jpg;;;;;;;;;;
de:08125:5404;de:08125:5404;Bahnhof (Eppingen);NVBW;Rohdaten;8,9136861;49,1359917;Objekt-Rohposition;;nein;nein;;ja;ja;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:5404/13d76272-5fa8-46de-9663-87d8c0a271cf.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:5404/e56fe27e-cb31-480f-bde6-a608dafed660.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:5404/57be0785-e596-4f78-b0ae-9ba61647dd3e.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:5404/d750fd98-b860-475c-98ba-2c8a0825756e.jpg;;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:5404/d01393e9-dde3-4ebb-8caf-fd3580be4ab3.jpg;;
de:08127:21002;de:08127:21002;Eckartshausen-Ilshofen Bahnhof;NVBW;Rohdaten;9,9369753;49,1525509;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08236:2390;de:08236:2390;Knittlingen - Kleinvillars;NVBW;Rohdaten;8,7440302;48,9937737;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08136:4245;de:08136:4245;Bahnhof (Trochtelfingen (AA));NVBW;Rohdaten;10,4016465;48,8383964;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4245/ede5a86e-9724-4b69-9737-6f6713f57bbe.jpg;;;;;;;;;;;;
de:08118:5632;de:08118:5632;Bahnhof (Münchingen (Korntal));NVBW;Rohdaten;9,0951966;48,8556067;Haltestelle-Sollposition;;nein;nein;;ja;ja;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08215:1531;de:08215:1531;Bahnhof JÃ¶hlingen;NVBW;Rohdaten;8,575147;49,0282135;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
ch:23017:55725;ch:23017:55725;Wilchingen-Hallau;NVBW;Rohdaten;8,4638824;47,6794213;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/ch:23017:55725/7e5904b5-593e-4b3b-b2a0-a0559a7b8d88.jpg;;;;;;;;;;;;
de:08326:6744;de:08326:6744;Marbach West (Zug);NVBW;Rohdaten;8,4691368;48,0313503;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
